Date_last_sync,Date_extract,Organisme,Produit,Solde
2023-04-21 10:34:43.677,2023-04-21 14:01:55.368396,Allianz,Assurance Vie,33391.4802303
2023-04-21 11:57:24.409,2023-04-21 14:01:55.368391,Amundi,PEE / PERCO,20933.06249
2023-04-21 00:32:38.274,2023-04-21 14:01:55.368421,Linxea,Assurance Vie Avenir,19101.573657
2023-04-21 07:36:05.571,2023-04-21 14:01:55.368419,Linxea,Assurance Vie Spirit 2,2158.682589
2023-04-18 03:45:03.035,2023-04-21 14:01:55.368402,Groupama,PEE / PERCO,3780.696666
2023-04-21 07:34:17.156,2023-04-21 14:01:55.368415,HSBC,Assurance Vie,19387.417052
2023-04-21 02:50:46.324,2023-04-21 14:01:55.368423,BourseDirect,PEA,149467.7446
2023-04-21 10:55:04.639,2023-04-21 14:01:55.368413,Boursorama,PEA-PMA,4153.2024
2023-04-21 06:45:46.325,2023-04-21 14:01:55.368431,Yomoni,Assurance Vie,9180.327998
2023-04-22 05:47:15.546,2023-04-22 12:10:08.752479,Allianz,Assurance Vie,33330.4394795
2023-04-22 04:57:31.103,2023-04-22 12:10:08.752472,Amundi,PEE / PERCO,20878.212408
2023-04-21 22:52:02.078,2023-04-22 12:10:08.752517,Linxea,Assurance Vie Avenir,19061.787291
2023-04-22 02:53:34.264,2023-04-22 12:10:08.752515,Linxea,Assurance Vie Spirit 2,2158.682589
2023-04-18 03:45:03.035,2023-04-22 12:10:08.752490,Groupama,PEE / PERCO,3780.696666
2023-04-22 02:53:10.629,2023-04-22 12:10:08.752509,HSBC,Assurance Vie,19353.760342
2023-04-22 10:08:24.892,2023-04-22 12:10:08.752520,BourseDirect,PEA,149930.8322
2023-04-22 08:34:23.452,2023-04-22 12:10:08.752506,Boursorama,PEA-PMA,4152.6348
2023-04-22 06:52:30.138,2023-04-22 12:10:08.752525,Yomoni,Assurance Vie,9155.452973
2023-04-23 01:00:48.024,2023-04-23 11:31:41.131301,Allianz,Assurance Vie,33334.568937
2023-04-23 04:58:53.395,2023-04-23 11:31:41.131295,Amundi,PEE / PERCO,20877.727452
2023-04-23 08:33:31.034,2023-04-23 11:31:41.131340,Linxea,Assurance Vie Avenir,19056.226957
2023-04-23 00:40:40.309,2023-04-23 11:31:41.131337,Linxea,Assurance Vie Spirit 2,2158.682589
2023-04-18 03:45:03.035,2023-04-23 11:31:41.131318,Groupama,PEE / PERCO,3780.696666
2023-04-23 00:39:21.656,2023-04-23 11:31:41.131333,HSBC,Assurance Vie,19353.760342
2023-04-23 04:11:28.882,2023-04-23 11:31:41.131342,BourseDirect,PEA,149930.8022
2023-04-23 08:38:37.726,2023-04-23 11:31:41.131330,Boursorama,PEA-PMA,4152.6348
2023-04-23 02:06:01.964,2023-04-23 11:31:41.131345,Yomoni,Assurance Vie,9155.480049
2023-04-30 05:58:50.021,2023-04-30 09:46:36.359158,Allianz,Assurance Vie,33267.631201
2023-04-30 06:25:39.167,2023-04-30 09:46:36.359144,Amundi,PEE / PERCO,20915.375879
2023-04-30 05:02:36.763,2023-04-30 09:46:36.359164,Linxea,Assurance Vie Avenir,18952.9710375357
2023-04-30 03:22:20.632,2023-04-30 09:46:36.359163,Linxea,Assurance Vie Spirit 2,2158.682589
2023-04-29 20:11:04.890,2023-04-30 09:46:36.359142,Groupama,PEE / PERCO,3771.738602
2023-04-30 06:21:12.565,2023-04-30 09:46:36.359161,HSBC,Assurance Vie,19319.473442
2023-04-30 05:07:09.739,2023-04-30 09:46:36.359165,BourseDirect,PEA,149868.8667
2023-04-30 01:54:17.117,2023-04-30 09:46:36.359160,Boursorama,PEA-PMA,4154.1396
2023-04-29 22:40:52.884,2023-04-30 09:46:36.359168,Yomoni,Assurance Vie,9170.50817
2023-04-30 20:24:24.166,2023-05-01 02:00:31.146998,Allianz,Assurance Vie,33254.63088955
2023-04-30 20:56:15.410,2023-05-01 02:00:31.146982,Amundi,PEE / PERCO,20915.375879
2023-04-30 21:51:18.973,2023-05-01 02:00:31.147006,Linxea,Assurance Vie Avenir,18963.57143
2023-04-30 22:54:16.845,2023-05-01 02:00:31.147004,Linxea,Assurance Vie Spirit 2,2158.682589
2023-04-30 17:54:46.560,2023-05-01 02:00:31.146979,Groupama,PEE / PERCO,3771.738602
2023-04-30 15:58:51.114,2023-05-01 02:00:31.147003,HSBC,Assurance Vie,19319.473442
2023-04-30 12:19:19.803,2023-05-01 02:00:31.147007,BourseDirect,PEA,149868.8667
2023-04-30 23:32:02.174,2023-05-01 02:00:31.147001,Boursorama,PEA-PMA,4154.1396
2023-04-30 20:35:17.522,2023-05-01 02:00:31.147010,Yomoni,Assurance Vie,9170.50817
2023-05-04 06:19:52.118,2023-05-04 16:05:54.694507,Allianz,Assurance Vie,33320.743817200004
2023-05-04 03:27:51.671,2023-05-04 16:05:54.694491,Amundi,PEE / PERCO,20837.745918
2023-05-04 03:27:33.778,2023-05-04 16:05:54.694517,Linxea,Assurance Vie Avenir,18895.97553
2023-05-04 13:05:12.659,2023-05-04 16:05:54.694514,Linxea,Assurance Vie Spirit 2,2159.532491
2023-05-04 09:09:48.426,2023-05-04 16:05:54.694487,Groupama,PEE / PERCO,3771.738602
2023-05-04 06:20:46.997,2023-05-04 16:05:54.694522,HSBC,Assurance Vie,19298.607624
2023-05-04 06:19:53.933,2023-05-04 16:05:54.694525,BourseDirect,PEA,147562.734444775
2023-05-04 03:27:35.852,2023-05-04 16:05:54.694511,Boursorama,PEA-PMA,4154.1396
2023-05-04 06:59:28.113,2023-05-04 16:05:54.694528,Yomoni,Assurance Vie,9147.587872
